                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4706,                 3.7902,                 1.1507,                0.11952,                0.47961,                0.15452,                0.08898,                 1.0882,                 3.7257,                0.95484,                 0.0946,                 0.0006,                 0.0006
                      2,                 1.3218,                 2.6413,                 1.0742,                0.23295,                0.18608,                0.05524,                0.01876,                 1.5409,                  3.434,                 1.2169,               0.088279,              0.0012786,              0.0012786
                      3,                 1.2361,                 2.0906,                 1.0527,                0.00126,                0.00972,                0.00562,                0.00057,                 1.6007,                 21.172,                 1.4473,               0.081934,               0.001934,               0.001934
                      4,                 1.2139,                 1.8485,                 1.0382,                0.21667,                0.00284,                0.02681,                 0.0134,                 1.5279,                 13.372,                 1.4345,               0.075566,              0.0025663,              0.0025663
                      5,                 1.1763,                 1.6119,                 1.0328,                0.50281,                0.22106,                0.07155,                0.03846,                  1.619,                 3.9525,                 1.6881,               0.069176,              0.0031756,              0.0031756
                      6,                 1.1886,                 1.4266,                 1.0471,                0.02143,                0.02672,                0.01709,                0.00395,                 2.8232,                 14.196,                 3.0908,               0.062762,              0.0037618,              0.0037618
                      7,                 1.1527,                 1.3062,                 1.0481,                0.02143,                0.02672,                0.01709,                0.00395,                 2.7886,                 872.76,                 4.7055,               0.056325,              0.0043248,              0.0043248
                      8,                  1.112,                 1.2601,                 1.0375,                0.18479,                 0.2241,                0.17421,                0.08293,                 1.4517,                 9.9458,                 1.5818,               0.049865,              0.0048648,              0.0048648
                      9,                 1.1502,                  1.184,                 1.0603,                0.08472,                 0.1931,                0.10252,                0.06143,                 1.4977,                 13.127,                 1.4527,               0.043382,              0.0053816,              0.0053816
                     10,                 1.1033,                 1.1563,                 1.0344,                0.20141,                0.19677,                0.10781,                0.03574,                 2.0781,                 21.259,                  1.858,               0.036875,              0.0058753,              0.0058753
                     11,                 1.0552,                 1.0279,                 1.0117,                0.79432,                0.12595,                0.19165,                 0.1085,                 2.0126,                 3.1327,                 1.8251,               0.030346,               0.006346,               0.006346
                     12,                 1.0275,                0.99232,                  1.012,                 0.1411,                0.21802,                0.19773,                 0.1323,                 1.3527,                 8.3627,                 1.4966,               0.023794,              0.0067935,              0.0067935
                     13,                 1.1228,                 1.0249,                 1.0537,                0.05482,                0.00672,                 0.0321,                0.01041,                 3.3077,                 12.535,                 3.5571,               0.017218,               0.007218,               0.007218
                     14,                 1.1966,                 1.0213,                 1.0876,                0.42018,                0.40453,                0.42642,                0.21922,                 1.6339,                 2.0028,                 1.6068,               0.010619,              0.0076193,              0.0076193
                     15,                 1.1475,                 1.0043,                  1.047,                0.40289,                0.27393,                0.33346,                0.19911,                 1.7712,                 2.4244,                  1.809,                0.00769,                0.00769,                0.00769
                     16,                 1.0261,                0.88618,                 1.0097,                0.13889,                0.00478,                0.07151,                 0.0171,                 3.1871,                 17.648,                 3.1876,                0.00769,                0.00769,                0.00769
                     17,                  1.018,                0.84956,                0.99944,                0.13889,                0.00478,                0.07151,                 0.0171,                 2.1024,                 11.085,                 1.7965,               0.007525,               0.007525,               0.007525
                     18,                 1.1292,                0.92096,                 1.0304,                0.44579,                0.45882,                0.41151,                0.28674,                 1.2261,                 2.5835,                 1.2375,                0.00736,                0.00736,                0.00736
                     19,                 1.0839,                0.86192,                 1.0296,                0.21982,                  0.085,                0.14265,                0.07442,                 1.6033,                 3.0997,                 1.4939,               0.007195,               0.007195,               0.007195
                     20,                  1.018,                0.80163,                 1.0139,                 0.4421,                0.43048,                0.41434,                0.24718,                 1.5353,                  3.587,                 1.4443,                0.00703,                0.00703,                0.00703
                     21,                  1.038,                0.81787,                  1.034,                0.65069,                0.52252,                 0.6172,                0.37306,                 1.4229,                 1.8302,                 1.3506,               0.006865,               0.006865,               0.006865
                     22,                0.98852,                0.75666,                 1.0078,                0.65182,                 0.6919,                0.70384,                0.47634,                 1.1917,                 1.8765,                 1.2494,                 0.0067,                 0.0067,                 0.0067
                     23,                0.99791,                0.75532,                0.99042,                0.70046,                0.65315,                0.73909,                 0.4837,                 1.2392,                 1.7501,                  1.249,               0.006535,               0.006535,               0.006535
                     24,                0.99034,                0.72588,                0.97921,                0.77801,                0.85727,                 0.8832,                0.54228,                 1.3021,                 1.1087,                 1.2932,                0.00637,                0.00637,                0.00637
                     25,                0.96264,                0.72487,                0.97842,                0.75727,                0.69048,                0.82792,                0.52675,                 1.2461,                  1.558,                 1.2205,               0.006205,               0.006205,               0.006205
                     26,                 1.0201,                0.70565,                 0.9927,                0.91905,                0.78006,                0.95486,                 0.6705,                 1.0811,                 1.0106,                 1.1155,                0.00604,                0.00604,                0.00604
                     27,                0.98159,                0.70928,                0.99406,                0.92361,                0.95375,                0.98096,                0.75621,                0.88624,                0.83961,                0.99604,               0.005875,               0.005875,               0.005875
                     28,                0.96214,                0.66641,                0.99801,                0.79884,                0.85017,                0.89725,                0.65554,                 1.0494,                0.87565,                 1.0732,                0.00571,                0.00571,                0.00571
                     29,                0.95478,                0.66323,                0.98979,                0.87252,                0.86114,                0.91598,                0.69655,                0.94482,                0.75908,                 1.0387,               0.005545,               0.005545,               0.005545
                     30,                0.95764,                0.67271,                0.98044,                0.90881,                0.97983,                0.97856,                0.77261,                0.86024,                0.66185,                0.99173,                0.00538,                0.00538,                0.00538
                     31,                0.93834,                0.64958,                0.97531,                0.91527,                0.97395,                0.97858,                0.77213,                0.84201,                  0.571,                0.98845,               0.005215,               0.005215,               0.005215
                     32,                0.94167,                0.66218,                0.96125,                0.94668,                0.95041,                 0.9772,                0.77007,                0.84328,                0.58154,                0.97299,                0.00505,                0.00505,                0.00505
                     33,                 0.8973,                0.64143,                0.94835,                 0.9139,                0.96563,                0.97392,                0.77145,                0.84277,                0.55835,                 0.9806,               0.004885,               0.004885,               0.004885
                     34,                0.90277,                0.61227,                0.96411,                0.94227,                0.98731,                0.98063,                0.78581,                0.84468,                0.53159,                0.97073,                0.00472,                0.00472,                0.00472
                     35,                 0.8987,                0.60935,                0.95458,                0.94972,                0.96324,                0.97932,                0.77011,                0.88329,                0.53214,                 1.0057,               0.004555,               0.004555,               0.004555
                     36,                0.91626,                0.61536,                0.97364,                0.94657,                 0.9853,                0.97741,                0.73568,                0.96503,                0.55561,                 1.0349,                0.00439,                0.00439,                0.00439
                     37,                0.88847,                0.59988,                0.94534,                0.95043,                0.98159,                0.97789,                0.79865,                0.80581,                0.49214,                 0.9706,               0.004225,               0.004225,               0.004225
                     38,                0.87217,                0.59719,                0.96095,                0.94074,                0.99381,                0.98109,                0.78899,                0.80549,                0.52055,                0.96059,                0.00406,                0.00406,                0.00406
                     39,                0.86616,                 0.5731,                0.95271,                0.96595,                0.98969,                0.98233,                0.79061,                0.80376,                0.47334,                0.96313,               0.003895,               0.003895,               0.003895
                     40,                0.89346,                0.56391,                0.96737,                0.97017,                0.99167,                0.98399,                0.77325,                0.83926,                 0.4845,                0.98014,                0.00373,                0.00373,                0.00373
                     41,                0.88204,                 0.5778,                0.96538,                0.96395,                 0.9876,                0.98354,                0.75139,                0.89936,                 0.5007,                 1.0217,               0.003565,               0.003565,               0.003565
                     42,                0.88222,                0.55848,                0.96254,                0.96414,                0.99282,                0.97817,                 0.7943,                0.81052,                0.48093,                0.96457,                 0.0034,                 0.0034,                 0.0034
                     43,                0.88892,                0.56036,                0.96584,                0.95433,                0.99137,                0.97713,                0.78243,                0.81991,                0.48723,                0.97605,               0.003235,               0.003235,               0.003235
                     44,                0.90375,                0.57619,                 0.9653,                 0.9685,                0.99205,                0.97766,                0.78296,                 0.8213,                0.45611,                0.96106,                0.00307,                0.00307,                0.00307
                     45,                0.84584,                0.54078,                0.94685,                0.97041,                0.98984,                  0.976,                0.78714,                0.81273,                0.43481,                0.96646,               0.002905,               0.002905,               0.002905
                     46,                 0.8768,                0.53444,                0.96107,                0.97127,                0.99405,                0.97768,                0.78957,                0.80679,                0.44902,                0.95406,                0.00274,                0.00274,                0.00274
                     47,                 0.8688,                0.55303,                0.96051,                0.97072,                0.99382,                0.98084,                0.79238,                0.79926,                  0.446,                0.95678,               0.002575,               0.002575,               0.002575
                     48,                0.85624,                 0.5333,                0.96451,                0.96622,                0.99405,                0.98021,                0.78553,                0.81963,                0.44498,                0.95815,                0.00241,                0.00241,                0.00241
                     49,                0.87646,                0.52996,                0.97915,                0.96576,                0.99076,                 0.9817,                0.77779,                 0.8292,                0.43365,                0.98275,               0.002245,               0.002245,               0.002245
                     50,                 0.8354,                0.51008,                0.95215,                0.96389,                0.99372,                0.97552,                0.79172,                0.78022,                 0.4228,                0.95377,                0.00208,                0.00208,                0.00208
                     51,                0.81031,                0.48016,                0.96037,                0.96895,                0.98993,                0.97901,                0.78259,                0.80582,                0.43612,                 0.9668,               0.001915,               0.001915,               0.001915
                     52,                 0.8061,                0.47063,                0.97338,                0.97088,                0.99405,                0.97652,                 0.7992,                 0.7672,                0.43395,                0.94459,                0.00175,                0.00175,                0.00175
                     53,                0.81155,                0.47996,                0.95857,                0.96766,                  0.989,                0.97431,                0.79281,                  0.762,                0.43251,                0.95311,               0.001585,               0.001585,               0.001585
                     54,                0.79309,                0.46648,                0.97233,                0.97007,                 0.9863,                0.97444,                0.79193,                 0.7613,                0.41482,                0.95165,                0.00142,                0.00142,                0.00142
                     55,                0.79987,                0.45238,                 0.9684,                0.97322,                0.98744,                0.97498,                0.79113,                0.78187,                0.40526,                0.95486,               0.001255,               0.001255,               0.001255
                     56,                0.78198,                0.45914,                0.95595,                0.97233,                0.98895,                0.97403,                0.80021,                0.75431,                0.40263,                0.94214,                0.00109,                0.00109,                0.00109
                     57,                0.78246,                0.44004,                 0.9541,                0.97013,                 0.9893,                0.97436,                0.79877,                0.74946,                 0.4091,                0.93812,               0.000925,               0.000925,               0.000925
                     58,                0.76632,                 0.4383,                0.95551,                 0.9688,                0.98979,                0.97427,                0.79183,                0.77102,                0.40664,                0.94487,                0.00076,                0.00076,                0.00076
                     59,                0.77017,                0.43303,                 0.9465,                0.97061,                0.99021,                0.97477,                 0.8027,                0.74543,                0.39528,                0.93483,               0.000595,               0.000595,               0.000595
                     60,                0.75463,                0.41622,                0.95192,                0.97095,                0.99091,                 0.9755,                0.80626,                0.74934,                0.38658,                0.93229,                0.00043,                0.00043,                0.00043
